name,address,lat,lon,rating,ratings_count,reviews_count,description,rubrics,schedule,category
Eco-hotel AQBULAQ,"129-1 учетный квартал, 3920",43.292777,77.367779,4.5,334,155,,"Базы отдыха, Бани и сауны, Бассейны, Спортивный прокат, Банкетные залы","{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
Panorama Almaty,"СТ Коктобе территория, 159",43.224104,76.976155,4.8,400,242,,"Базы отдыха, Аренда шатров и конструкций, Аренда беседок, Аренда концертных площадок","{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Shymbulak Medeu Camp, семейный горный глэмпинг","Керей-Жанибек хандар улица, 558/1а",43.162683,77.049277,4.8,91,24,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Kabirkhan Village Resort, база отдыха","улица Жамбыла, 122а",43.173763,76.223271,4.6,135,82,,"Базы отдыха, Конные клубы","{'Fri': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Mon': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Sat': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Sun': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Thu': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Tue': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'Wed': {'working_hours': [{'from': '09:00', 'to': '23:00'}]}, 'comment': 'по предварительной записи'}",глэмпинг
"Almaty Hills Glamping, гостевой дом","Галамат микрорайон, 1288/5",43.14465,76.885123,4.7,55,35,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Kok-Tobe Hilltop, база отдыха","СТ Коктобе территория, 16",43.22279,76.980112,5,89,48,,"Базы отдыха, Бани и сауны","{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
Aglamp.kz,"улица Мичурина, 1152",43.221058,77.090409,4.9,250,177,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Mon': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '22:00'}]}}",глэмпинг
"tau-tas, база отдыха","Тургеньское ущелье, 15",43.274434,77.711105,4.3,26,11,,Базы отдыха,"{'Fri': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Mon': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sat': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Sun': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Thu': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Tue': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'Wed': {'working_hours': [{'from': '00:00', 'to': '24:00'}]}, 'is_24x7': True}",глэмпинг
"Yellowstone farm, база отдыха","Обувщик улица, 111Б",43.168706,76.808973,4.8,136,64,,"Базы отдыха, Бани и сауны, Конные клубы, Аренда беседок","{'Fri': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sat': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Sun': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Thu': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Tue': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}, 'Wed': {'working_hours': [{'from': '10:00', 'to': '18:00'}]}}",глэмпинг
"Чарын, визит-центр","Палуана улица, 1а/1",43.356623,79.054989,4.4,126,55,,"Организация активных туров, Кемпинги, Базы отдыха","{'Fri': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Mon': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Sat': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Sun': {'working_hours': [{'from': '08:00', 'to': '20:00'}]}, 'Thu': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Tue': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}, 'Wed': {'working_hours': [{'from': '08:00', 'to': '19:00'}]}}",глэмпинг
